k04_page	notes_chapter	notes_section
1	-	-
2	00-intro	Περιεχόμενο του μαθήματος
3	00-intro	Περιεχόμενο του μαθήματος
4	00-intro	Εισαγωγικά θέματα
5	00-intro	Γενικά περί υπολογιστών
6	00-intro	Γενικά περί προγραμματισμού υπολογιστών
7	00-intro	Ιστορική αναδρομή
8	00-intro	Κάποια υπολογιστικά προβλήματα
9	00-intro	Πώς να μάθουμε να προγραμματίζουμε;
10	00-intro	Η δομή του υπολογιστή
11	00-intro	Η πληροφορία στον υπολογιστή
12	00-intro	Λογισμικό και γλώσσες προγραμματισμού
13	00-intro	Τι χρειαζόμαστε από μία γλώσσα προγραμματισμού;
14	00-intro	Τι χρειαζόμαστε από μία γλώσσα προγραμματισμού;
15	00-intro	Πώς κατασκευάζουμε εκτελέσιμο πρόγραμμα;
16	00-intro	Η διαδικασία της μεταγλώττισης και σύνδεσης
17	00-intro	Προγραμματιστικά περιβάλλοντα για την C
18	00-intro	Παραδείγματα χρήσης του gcc
19	01-first-programs	Η γλώσσα προγραμματισμού C
20	01-first-programs	Καλημέρα κόσμε της C
21	01-first-programs	Πόσο είναι το $\pi$;
22	01-first-programs	Πόσο είναι το $\pi$;
23	01-first-programs	Πόσο είναι το $\pi$;
24	01-first-programs	Πόσο είναι το $\pi$;
25	01-first-programs	Πότε είναι το Ορθόδοξο Πάσχα;
26	01-first-programs	Πότε είναι το Ορθόδοξο Πάσχα;
27	01-first-programs	Να κατασκευασθεί μαγικό τετράγωνο $5 \times 5$
28	01-first-programs	Να κατασκευασθεί μαγικό τετράγωνο $5 \times 5$
29	01-first-programs	Μετατροπή πεζών γραμμάτων σε κεφαλαία
30	01-first-programs	Μετατροπή πεζών γραμμάτων σε κεφαλαία
31	02-types-operators	Μεταβλητές, σταθερές, τύποι και δηλώσεις στην C
32	02-types-operators	Μεταβλητές, σταθερές, τύποι και δηλώσεις στην C
33	02-types-operators	Μεταβλητές, σταθερές, τύποι και δηλώσεις στην C
